sub,block,stim,stim_num,phc1,phc2,phc3,phc4,phc5,decrease
116,2,c10.jpg,7,-5.090877028,73.325157,212.4143191,214.1786037,82.90772543,-87.998602458
116,2,c21.jpg,8,106.5918437,172.961116,130.0817703,53.21999399,-26.29893293,132.89077663
116,2,c8.jpg,9,200.0864462,52.40937421,97.95058506,125.0024257,76.57931694,123.50712926000001
116,2,c1.jpg,10,102.6728587,52.46680286,28.19958839,26.32708873,91.3008305,11.372028200000003
116,2,c16.jpg,11,179.1231466,248.1398145,56.94341106,161.2311901,89.49988245,89.62326415000001
116,2,c19.jpg,12,-22.88779946,113.26841,179.117525,213.0511342,108.9931117,-131.88091116
118,1,c14.jpg,1,-66.78363267,100.5061468,-29.94463871,-9.469518655,11.62829104,-78.41192371
118,1,c5.jpg,2,-66.46429514,160.050557,30.16702261,16.01872364,-20.30304268,-46.16125246
118,1,c15.jpg,3,84.09054982,-48.09465177,166.1111282,6.713807671,10.94686592,73.14368390000001
118,1,c4.jpg,4,-83.37930665,7.929668144,171.0127452,-125.2727513,222.2706017,-305.64990835
118,1,c7.jpg,5,101.315411,99.17590165,72.19121735,85.29639591,63.66327976,37.652131239999996
118,1,c24.jpg,6,36.17221963,78.62588139,93.69074777,130.4813076,121.9691376,-85.79691797
118,1,c3.jpg,7,192.3046265,1.86715239,109.4652246,125.5842846,63.83157746,128.47304904
118,1,c12.jpg,8,11.42755222,43.66389776,48.16427577,-149.9203261,-78.60593853,90.03349075
118,1,c22.jpg,9,-78.29295895,152.5872066,71.90642118,133.0871183,-110.5385334,32.24557445000001
118,1,c23.jpg,10,-114.9306865,-41.03226856,101.5273724,1.01155993,-69.65358345,-45.277103049999994
118,1,c20.jpg,11,-131.2790565,-19.33211902,38.09194173,-199.5795701,5.347065166,-136.626121666
118,1,c9.jpg,12,145.8172941,-158.248961,8.938310937,-81.78494325,-99.8069858,245.6242799
120,2,c5.jpg,1,17.08158972,192.9145558,97.62484293,95.0908645,82.11877555,-65.03718583
120,2,c20.jpg,2,100.6078766,143.4546458,188.4547108,169.1801881,189.5511247,-88.9432481
120,2,c9.jpg,3,87.8804587,82.81950179,-68.22090054,109.0561672,8.506725863,79.373732837
120,2,c7.jpg,4,193.4425555,88.82705859,-31.40938039,175.0931366,33.40989643,160.03265907
120,2,c4.jpg,5,198.3279286,178.2044096,234.5588982,218.7096182,72.76172989,125.56619871000001
120,2,c14.jpg,6,153.9533252,214.8586415,246.9457277,250.0636191,117.0003893,36.9529359
120,2,c22.jpg,7,122.5954934,165.8613636,245.6325247,185.6749558,132.25502,-9.659526600000007
120,2,c12.jpg,8,45.6575429,14.60582947,100.2885843,131.7895533,185.7227253,-140.0651824
120,2,c24.jpg,9,61.11265922,23.36095391,168.6889285,9.293863984,59.3901243,1.722534920000001
